1.000000    0.001260
0.993723    0.002137
0.982775    0.003651
0.969992    0.005394
0.955666    0.007315
0.940264    0.009344
0.924222    0.011418
0.907837    0.013497
0.891275    0.015558
0.874624    0.017591
0.857926    0.019590
0.841202    0.021554
0.824462    0.023482
0.807711    0.025373
0.790953    0.027228
0.774190    0.029046
0.757424    0.030826
0.740656    0.032570
0.723887    0.034276
0.707119    0.035943
0.690352    0.037571
0.673589    0.039159
0.656830    0.040706
0.640077    0.042211
0.623332    0.043672
0.606594    0.045088
0.589867    0.046458
0.573152    0.047778
0.556449    0.049048
0.539761    0.050265
0.523090    0.051426
0.506436    0.052530
0.489803    0.053572
0.473192    0.054551
0.456605    0.055463
0.440044    0.056305
0.423513    0.057072
0.407014    0.057761
0.390549    0.058368
0.374123    0.058888
0.357739    0.059317
0.341401    0.059648
0.325114    0.059878
0.308883    0.059999
0.292715    0.060006
0.276617    0.059891
0.260598    0.059649
0.244668    0.059270
0.228839    0.058747
0.213128    0.058070
0.197554    0.057232
0.182143    0.056222
0.166928    0.055030
0.151958    0.053649
0.137297    0.052071
0.123034    0.050294
0.109290    0.048323
0.096218    0.046177
0.083993    0.043888
0.072782    0.041503
0.062705    0.039079
0.053802    0.036668
0.046033    0.034310
0.039294    0.032026
0.033459    0.029826
0.028396    0.027706
0.023986    0.025657
0.020129    0.023668
0.016743    0.021726
0.013763    0.019819
0.011140    0.017934
0.008834    0.016059
0.006820    0.014186
0.005078    0.012305
0.003599    0.010412
0.002378    0.008506
0.001413    0.006590
0.000704    0.004674
0.000246    0.002774
0.000026    0.000910
0.000026   -0.000910
0.000246   -0.002774
0.000704   -0.004674
0.001413   -0.006590
0.002378   -0.008506
0.003599   -0.010412
0.005078   -0.012305
0.006820   -0.014186
0.008834   -0.016059
0.011140   -0.017934
0.013763   -0.019819
0.016743   -0.021726
0.020129   -0.023668
0.023986   -0.025657
0.028396   -0.027706
0.033459   -0.029826
0.039295   -0.032026
0.046033   -0.034310
0.053802   -0.036668
0.062705   -0.039079
0.072782   -0.041503
0.083993   -0.043888
0.096218   -0.046177
0.109290   -0.048323
0.123034   -0.050294
0.137297   -0.052071
0.151958   -0.053649
0.166928   -0.055030
0.182143   -0.056222
0.197554   -0.057232
0.213128   -0.058070
0.228839   -0.058747
0.244668   -0.059270
0.260598   -0.059649
0.276617   -0.059891
0.292715   -0.060006
0.308883   -0.059999
0.325114   -0.059878
0.341401   -0.059648
0.357739   -0.059317
0.374123   -0.058888
0.390549   -0.058368
0.407014   -0.057761
0.423513   -0.057072
0.440044   -0.056305
0.456605   -0.055463
0.473192   -0.054551
0.489803   -0.053572
0.506436   -0.052530
0.523090   -0.051426
0.539761   -0.050265
0.556449   -0.049048
0.573152   -0.047778
0.589867   -0.046458
0.606594   -0.045088
0.623332   -0.043672
0.640078   -0.042211
0.656830   -0.040706
0.673589   -0.039159
0.690352   -0.037571
0.707119   -0.035943
0.723887   -0.034276
0.740656   -0.032570
0.757424   -0.030826
0.774190   -0.029046
0.790953   -0.027228
0.807711   -0.025373
0.824462   -0.023482
0.841202   -0.021554
0.857926   -0.019590
0.874624   -0.017591
0.891275   -0.015558
0.907837   -0.013497
0.924222   -0.011418
0.940264   -0.009344
0.955666   -0.007315
0.969992   -0.005394
0.982775   -0.003651
0.993723   -0.002137
1.000000   -0.001260
